Customer ID,Totalexpenses,Frequency,LastInvoiceDate,Recency,Cluster,Cluster_Label
12347.0,4620.32,8,2011-12-07 15:52:00,1,1,Loyal High-Value
12348.0,1658.3999999999999,5,2011-09-25 13:13:00,74,2,Mid-Tier Customer
12349.0,3319.06,3,2011-11-21 09:51:00,18,2,Mid-Tier Customer
12350.0,258.0,1,2011-02-02 16:01:00,309,3,Lost or Dormant
12351.0,300.93,1,2010-11-29 15:23:00,374,3,Lost or Dormant
12352.0,1705.64,9,2011-11-03 14:37:00,35,2,Mid-Tier Customer
12353.0,406.76,2,2011-05-19 17:47:00,203,0,Occasional Shopper
12354.0,1062.8,1,2011-04-21 13:11:00,231,0,Occasional Shopper
12355.0,692.51,2,2011-05-09 13:49:00,213,0,Occasional Shopper
12356.0,4499.21,6,2011-11-17 08:40:00,22,1,Loyal High-Value
12358.0,1523.47,5,2011-12-08 10:26:00,1,2,Mid-Tier Customer
12360.0,3353.41,6,2011-10-18 15:22:00,51,1,Loyal High-Value
12361.0,451.25,4,2011-02-25 13:51:00,286,0,Occasional Shopper
12362.0,4520.27,10,2011-12-06 15:40:00,2,1,Loyal High-Value
12363.0,552.0,2,2011-08-22 10:18:00,109,0,Occasional Shopper
12364.0,1133.4,4,2011-12-02 10:22:00,7,0,Occasional Shopper
12365.0,283.94,1,2011-02-21 13:51:00,290,3,Lost or Dormant
12366.0,500.24,1,2010-03-16 10:28:00,633,3,Lost or Dormant
12367.0,150.9,1,2011-12-05 16:48:00,3,0,Occasional Shopper
12368.0,826.5,1,2010-03-21 15:56:00,627,3,Lost or Dormant
12369.0,1458.05,3,2010-10-22 13:13:00,412,3,Lost or Dormant
12370.0,3482.58,7,2011-10-19 14:51:00,50,1,Loyal High-Value
12371.0,2658.9300000000003,4,2011-10-11 10:43:00,59,2,Mid-Tier Customer
12372.0,1164.54,3,2011-09-29 12:12:00,71,0,Occasional Shopper
12373.0,869.1500000000001,3,2011-02-01 13:10:00,310,3,Lost or Dormant
12374.0,2232.27,3,2011-11-14 15:37:00,24,2,Mid-Tier Customer
12375.0,286.1,2,2011-11-29 10:36:00,10,0,Occasional Shopper
12376.0,363.65,2,2010-11-15 12:15:00,389,3,Lost or Dormant
12377.0,2991.78,4,2011-01-28 15:45:00,314,2,Mid-Tier Customer
12379.0,1399.82,4,2011-09-19 10:09:00,81,2,Mid-Tier Customer
12381.0,1408.15,3,2011-12-05 12:44:00,4,0,Occasional Shopper
12383.0,1498.36,5,2011-06-08 08:02:00,184,2,Mid-Tier Customer
12384.0,371.62,2,2011-11-11 08:39:00,28,0,Occasional Shopper
12385.0,1633.9,1,2010-11-25 15:14:00,378,3,Lost or Dormant
12386.0,660.8,2,2011-01-06 12:37:00,337,3,Lost or Dormant
12387.0,143.94,1,2010-10-20 16:27:00,414,3,Lost or Dormant
12388.0,3612.6600000000003,8,2011-11-24 12:30:00,15,1,Loyal High-Value
12389.0,1070.33,3,2010-11-02 11:52:00,402,3,Lost or Dormant
12390.0,494.34000000000003,1,2011-09-21 09:33:00,79,0,Occasional Shopper
12391.0,2469.84,6,2011-11-18 12:07:00,21,2,Mid-Tier Customer
12392.0,216.85000000000002,1,2010-04-27 14:04:00,590,3,Lost or Dormant
